LOAN (Off Site Loaner),,A-3-1-14 (B-Stock),,,,,CPSHIP (Customer Property Shipping),EE-1 (main harvest small rack),,IN LAB (In Progress),,SEE_NOTE (Additional Details on Inventory Item by Serial Number),,,,H-9-4 (QUAR (Quarantine)antine),,,,B-4-4 (SHPD),B-2-3 (Stock),,,
MIA (Misplaced),,A-3-1-2 (B-Stock),,,,,SR 1 (Shipping Rack 1 - Customer Return),EE-2 (main harvest small rack),,A (Lab),,,,,,H-9-5 (QUAR (Quarantine)antine),,,,C-11-1 (SHPD),B-2-4 (Stock),,,
,,A-3-7-14 (B-Stock),,,,,,,,D-7-4 (Lab),,,,,,J-11-8 (QUAR (Quarantine)antine),,,,,D-4-7 (Stock),,,
,,A-3-7-2 (B-Stock),,,,,,,,D-8-2 (Lab),,,,,,H-1-1 (QUAR (Quarantine)antine),,,,,D-4-8 (Stock),,,
,,A-3-7-3 (B-Stock),,,,,,,,D-8-4-5 (Lab),,,,,,H-1-2 (QUAR (Quarantine)antine),,,,,D-5-1 (Stock),,,
,,A-3-7-4 (B-Stock),,,,,,,,E-11-3 (Lab),,,,,,H-1-3 (QUAR (Quarantine)antine),,,,,D-5-2 (Stock),,,
,,A-3-7-5 (B-Stock),,,,,,,,E-1-5 (Lab),,,,,,H-1-4 (QUAR (Quarantine)antine),,,,,D-5-3 (Stock),,,
,,A-3-7-6 (B-Stock),,,,,,,,E-2-5 (Lab),,,,,,H-1-5 (QUAR (Quarantine)antine),,,,,D-5-4 (Stock),,,
,,A-3-7-7 (B-Stock),,,,,,,,E-2-6 (Lab),,,,,,H-1-6 (QUAR (Quarantine)antine),,,,,D-5-5 (Stock),,,
,,A-3-7-8 (B-Stock),,,,,,,,E-3-4 (Lab),,,,,,H-1-7 (QUAR (Quarantine)antine),,,,,D-5-6 (Stock),,,
,,A-3-7-9 (B-Stock),,,,,,,,E-4-3 (Lab),,,,,,H-1-8 (QUAR (Quarantine)antine),,,,,D-5-7 (Stock),,,
,,A-3-8 (B-Stock),,,,,,,,E-4-6 (Lab),,,,,,H-2-1 (QUAR (Quarantine)antine),,,,,D-5-8 (Stock),,,
,,A-3-8-1 (B-Stock),,,,,,,,E-5-8 (Lab),,,,,,H-2-2 (QUAR (Quarantine)antine),,,,,D-6-1 (Stock),,,
,,A-3-8-10 (B-Stock),,,,,,,,E-6-2-5 (Lab),,,,,,H-2-3 (QUAR (Quarantine)antine),,,,,D-6-2 (Stock),,,
,,A-3-8-11 (B-Stock),,,,,,,,E-7-7 (Lab),,,,,,H-2-4 (QUAR (Quarantine)antine),,,,,D-6-3 (Stock),,,
,,A-3-8-12 (B-Stock),,,,,,,,E-8-3 (Lab),,,,,,H-2-5 (QUAR (Quarantine)antine),,,,,D-6-4 (Stock),,,
,,A-3-8-13 (B-Stock),,,,,,,,E-9-1 (Lab),,,,,,H-2-6 (QUAR (Quarantine)antine),,,,,D-6-5 (Stock),,,
,,A-3-8-14 (B-Stock),,,,,,,,E-9-4 (Lab),,,,,,H-2-7 (QUAR (Quarantine)antine),,,,,D-6-6 (Stock),,,
,,A-3-8-2 (B-Stock),,,,,,,,F-10-2-6 (Lab),,,,,,H-2-8 (QUAR (Quarantine)antine),,,,,D-6-7 (Stock),,,
,,A-3-8-3 (B-Stock),,,,,,,,F-10-2-8 (Lab),,,,,,H-3-1 (QUAR (Quarantine)antine),,,,,D-6-8 (Stock),,,
,,A-3-8-4 (B-Stock),,,,,,,,F-10-3-2 (Lab),,,,,,H-3-2 (QUAR (Quarantine)antine),,,,,D-7-1 (Stock),,,
,,A-3-8-5 (B-Stock),,,,,,,,F-10-3-6 (Lab),,,,,,H-3-3 (QUAR (Quarantine)antine),,,,,D-7-2 (Stock),,,
,,A-3-8-6 (B-Stock),,,,,,,,F-1-7 (Lab),,,,,,H-3-4 (QUAR (Quarantine)antine),,,,,D-7-3 (Stock),,,
,,A-3-8-7 (B-Stock),,,,,,,,F-3-3 (Lab),,,,,,H-3-5 (QUAR (Quarantine)antine),,,,,D-7-4 (Stock),,,
,,A-3-8-8 (B-Stock),,,,,,,,F-5-5-5 (Lab),,,,,,H-3-6 (QUAR (Quarantine)antine),,,,,D-7-5 (Stock),,,
